create_time,hashtag_names,id,username,video_description,view_count,comment_count,like_count,music_id,region_code,share_count,voice_to_text,effect_ids,playlist_id,tiktokurl,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_date_string,utc_time_string
1704153384,"['chicago', 'music', 'city', 'beats', 'faith', 'bracelet', 'viral', 'godisgood', 'tiktok', 'trump', 'skyline', 'discount', 'fyp', 'jesuslover', 'trumptower', 'greenscreen', 'purchase', 'trumpbuilding', 'vira', 'homemadebracelets', 'crossbracelet', 'fypage', 'christiancontent', 'tiktokshopping', 'tiktokshop', 'catholiccontent', 'popsmoke', 'fypシ', 'realgemstones', 'capcut', 'tiktokshopblackfriday']",7319282928029011242,faith.gems,#CapCut  #fypシ  #crossbracelet  #viral  #tiktokshop  #jesuslover  #godisgood  #discount  #fyp  #tiktok  #tiktokshopblackfriday  #christiancontent  #faith  #greenscreen  #realgemstones  #catholiccontent  #chicago  #skyline  #city  #purchase  #bracelet  #fypage  #vira  #homemadebracelets  #tiktokshopping  #music  #popsmoke  #beats  #trump  #trumpbuilding  #trumptower ,2,2,53,7.22968795041802e+18,US,0,I don't wear these Cross Bracelets just for fashion or to show off I wear it to resemble God and to show others my faith.,,,https://www.tiktok.com/@faith.gems/video/7319282928029011242,2024,1,1,23,56,24,2024-01-01,23:56:24
1704153358,"['motorcycle', 'boricua', 'colombia', 'viral', 'latino', 'pr', 'gopro', 'duke', 'motivacion', 'ktm', 'hero9', 'ktmchallenge', 'duke390', 'ktmlover', 'puertorico🇵🇷', '390', 'ktmcolombia🇨🇴']",7319282809435360558,abnelrivera8,First 2024 ride 🙌🏼 #KTM #DUKE #390 #duke390 #ktmlover #ktmchallenge #ktmcolombia🇨🇴 #Motorcycle #GoPro #Hero9 #Boricua #PR #puertorico🇵🇷 #colombia #latino #motivacion #Viral ,66,0,44,7.274683850135293e+18,US,0,,,,https://www.tiktok.com/@abnelrivera8/video/7319282809435360558,2024,1,1,23,55,58,2024-01-01,23:55:58
1704153350,['2024election'],7319282806071233838,sweetgenou54,#2024election ,146,0,13,7.299302931898305e+18,US,0,,,,https://www.tiktok.com/@sweetgenou54/video/7319282806071233838,2024,1,1,23,55,50,2024-01-01,23:55:50
1704153345,"['tanks', 'planes', 'milsim', 'warthunder', 'pcgaming', 'arma3', 'trump2024', 'fypシ', 'armamilsim', 'capcut']",7319282799050034475,deltafox_2321,#CapCut #pcgaming #fypシ #planes #tanks #trump2024 #milsim #warthunder #arma3 #armamilsim ,68,0,10,7.319282888573324e+18,US,0,,,,https://www.tiktok.com/@deltafox_2321/video/7319282799050034475,2024,1,1,23,55,45,2024-01-01,23:55:45
1704153316,"['truth', 'trending', 'top', 'trump', 'fyp', 'putin', 'топ', 'тренд', 'путин', 'зеленский', 'трамп', '2024', 'ukrainewar', 'zelensky', 'війнавукраїні']",7319282683744390430,goldenboy5557,#putin #путин#війнавукраїні #ukrainewar #zelensky #зеленский #трамп #trump #top #trending #топ #тренд #fyp #truth #2024 ,396,3,21,7.319287926822178e+18,US,0,,,,https://www.tiktok.com/@goldenboy5557/video/7319282683744390430,2024,1,1,23,55,16,2024-01-01,23:55:16
1704153327,['buymyvote'],7319282680166649134,standupberowdy,Day 1 Election year #buymyvote,2,3,9,7.319282817819577e+18,US,0,,,,https://www.tiktok.com/@standupberowdy/video/7319282680166649134,2024,1,1,23,55,27,2024-01-01,23:55:27
1704153322,"['tennis', 'trump', 'prettybabe', 'tennisgirl']",7319282643437178154,luckytennisstarana,GYATTTT #tennis #tennisgirl #trump #prettybabe ,110,2,64,7.303070918438292e+18,US,0,,,,https://www.tiktok.com/@luckytennisstarana/video/7319282643437178154,2024,1,1,23,55,22,2024-01-01,23:55:22
1704153297,"['texas', 'houston', 'sus', 'politics', 'viralvideo', 'fyp', 'cult45', 'trumpsmells', 'notadragqueen', 'magnoliatexas', 'turntexasblue', 'magnoliaisd', 'gopgroomers', 'gopclownshow']",7319282559181933866,a_lefty_gamer_2,Replying to @Castro Not to mention all of the conservative creeps that #MagnoliaISD always seems to attract. #fyp #Texas #MagnoliaTexas #TurnTexasBlue #trumpsmells #notadragqueen #politics #cult45 #gopclownshow #GOPGroomers #Houston #viralvideo #sus ,1,1,43,7.319282673774693e+18,US,0,,,,https://www.tiktok.com/@a_lefty_gamer_2/video/7319282559181933866,2024,1,1,23,54,57,2024-01-01,23:54:57
1704153296,"['getit', 'letsgo', 'motivation', 'getyourassup', 'letsgobrandon', 'dontsoack']",7319282538751495467,natewarlord,#getyourassup #letsgo #getit #motivation #dontsoack #letsgobrandon ,36,5,22,7.300198626024902e+18,US,0,,,,https://www.tiktok.com/@natewarlord/video/7319282538751495467,2024,1,1,23,54,56,2024-01-01,23:54:56
1704153282,"['wow', 'usa', 'viral', 'ABC', 'disgusting', 'billclinton', 'viralvideo', 'unreal', 'foxnews', 'hillaryclinton', 'democrat', 'epstein', 'usa_tiktok', 'trump2024', 'epsteinisland']",7319282511941569822,saveourcountry6,#epstein #epsteinisland #viralvideo #usa #usa_tiktok #usa #democrat #billclinton #hillaryclinton #viral #trump2024 #wow #unreal #disgusting #foxnews #abc ,0,3,14,7.319282604790844e+18,US,0,,,,https://www.tiktok.com/@saveourcountry6/video/7319282511941569822,2024,1,1,23,54,42,2024-01-01,23:54:42
1704153284,"['music', 'themindelectric', 'miraclemusical', 'hawaiiptii', 'chonnyjash', 'theheartacoustic']",7319282491951549739,sourdoughbreadhater,THE ORGAN OPENING IS SO GOOD AND THE WAY IT FADES INTO THE TRUMPET AND THE LOWERING OF THE PITCH AT THE END IS SUCH A NICE TOUCH UGGHHHHH (I hate the rest of the song) #chonnyjash #theheartacoustic #themindelectric #miraclemusical #hawaiiptii #music ,53,24,61,7.319282611614993e+18,US,0,,,,https://www.tiktok.com/@sourdoughbreadhater/video/7319282491951549739,2024,1,1,23,54,44,2024-01-01,23:54:44
